# Statistiques journalières de la température de l'air à 2 m à Sigy-le-Châtel (données ERA5)
AAAA-MM-JJ, moyenne (°C), min (°C), max (°C)
1959-01-01,5.34,-0.17,7.58
1959-01-02,3.4,0.1,7.22
1959-01-03,3.14,1.92,4.5
1959-01-04,1.64,-2.56,3.48
1959-01-05,0.29,-2.13,2.76
1959-01-06,4.2,1.28,5.61
1959-01-07,7.05,5.83,8.72
1959-01-08,2.58,0.11,7.05
1959-01-09,0.35,-1.21,1.5
1959-01-10,0.09,-0.78,0.79
1959-01-11,-0.26,-1.29,0.85
1959-01-12,-0.84,-3.15,0.43
1959-01-13,-0.87,-3.51,1.68
1959-01-14,3.88,0.34,10.26
1959-01-15,7.04,5.94,9.44
1959-01-16,0.73,-2.24,6.78
1959-01-17,-0.18,-2.05,1.79
1959-01-18,0.99,-1.8,4.88
1959-01-19,6.33,1.68,9.13
1959-01-20,9.32,7.66,10.77
1959-01-21,9.23,6.57,11.83
1959-01-22,11.96,9.72,15.19
1959-01-23,10.8,7.85,13.0
1959-01-24,5.95,2.76,9.9
1959-01-25,1.85,-0.02,3.29
1959-01-26,1.55,-0.05,3.99
1959-01-27,2.03,-0.36,5.82
1959-01-28,1.83,-1.3,6.21
1959-01-29,2.03,-0.09,5.28
1959-01-30,3.2,-0.51,6.02
1959-01-31,0.86,-0.32,2.47
1959-02-01,0.51,-0.74,1.59
1959-02-02,1.26,-1.04,3.31
1959-02-03,1.05,-1.91,3.85
1959-02-04,1.57,-0.37,5.0
1959-02-05,4.4,0.72,9.25
1959-02-06,3.5,0.35,9.2
1959-02-07,4.54,0.81,10.15
1959-02-08,6.9,3.61,12.03
1959-02-09,7.42,3.46,10.54
1959-02-10,5.94,1.98,11.35
1959-02-11,5.2,3.48,7.37
1959-02-12,3.56,1.22,6.13
1959-02-13,2.85,0.54,7.01
1959-02-14,3.02,0.73,6.1
1959-02-15,2.94,0.17,7.19
1959-02-16,3.53,-1.04,8.1
1959-02-17,4.49,-0.13,8.85
1959-02-18,4.65,0.76,9.35
1959-02-19,6.23,1.81,10.63
1959-02-20,5.44,-0.39,12.01
1959-02-21,4.82,3.32,6.79
1959-02-22,6.3,3.76,8.95
1959-02-23,6.29,2.69,10.05
1959-02-24,5.23,-0.89,11.3
1959-02-25,6.71,0.91,13.79
1959-02-26,8.83,2.98,13.91
1959-02-27,8.65,4.44,14.29
1959-02-28,8.73,2.81,15.92
1959-03-01,8.96,3.96,14.37
1959-03-02,9.63,5.19,14.68
1959-03-03,10.93,8.22,13.2
1959-03-04,8.5,5.61,11.19
1959-03-05,11.49,6.63,14.67
1959-03-06,11.7,9.71,15.09
1959-03-07,9.12,7.75,10.71
1959-03-08,8.77,6.28,11.88
1959-03-09,8.64,4.17,12.96
1959-03-10,9.73,7.52,12.59
1959-03-11,10.87,6.55,15.34
1959-03-12,7.97,6.05,9.93
1959-03-13,6.74,4.04,9.2
1959-03-14,6.04,2.79,9.0
1959-03-15,5.69,1.82,9.56
1959-03-16,4.68,1.31,7.94
1959-03-17,4.96,1.54,8.79
1959-03-18,7.3,1.67,12.89
1959-03-19,10.1,5.86,14.57
1959-03-20,10.61,7.31,15.45
1959-03-21,12.24,7.62,17.56
1959-03-22,11.33,10.46,12.56
1959-03-23,12.02,9.4,15.68
1959-03-24,12.4,9.4,16.25
1959-03-25,9.34,6.33,11.6
1959-03-26,8.52,4.74,12.32
1959-03-27,9.81,5.04,12.81
1959-03-28,10.7,8.82,12.6
1959-03-29,10.04,6.48,12.32
1959-03-30,8.36,5.41,10.7
1959-03-31,9.72,6.35,13.6
1959-04-01,10.79,4.91,15.63
1959-04-02,11.77,5.84,16.6
1959-04-03,11.7,5.28,17.44
1959-04-04,14.32,6.32,20.8
1959-04-05,13.69,7.08,19.86
1959-04-06,12.29,7.28,17.36
1959-04-07,9.06,7.47,10.56
1959-04-08,11.36,7.61,15.48
1959-04-09,9.07,5.44,11.29
1959-04-10,6.79,4.88,10.09
1959-04-11,9.29,5.72,12.76
1959-04-12,13.86,9.0,18.41
1959-04-13,14.59,9.1,19.17
1959-04-14,16.81,12.34,21.16
1959-04-15,14.41,11.91,16.97
1959-04-16,10.73,8.02,13.73
1959-04-17,9.02,7.85,10.53
1959-04-18,9.98,8.13,11.16
1959-04-19,7.07,5.39,8.79
1959-04-20,6.91,4.44,9.04
1959-04-21,6.45,2.45,9.98
1959-04-22,7.25,1.54,11.96
1959-04-23,8.38,2.18,14.36
1959-04-24,10.94,2.76,17.32
1959-04-25,13.13,7.02,19.18
1959-04-26,11.33,8.84,13.69
1959-04-27,11.23,6.63,15.01
1959-04-28,10.86,9.2,13.64
1959-04-29,11.36,9.17,14.08
1959-04-30,7.17,5.69,9.37
1959-05-01,7.87,5.54,10.79
1959-05-02,9.13,6.64,11.14
1959-05-03,9.95,5.35,14.16
1959-05-04,10.72,4.21,16.31
1959-05-05,13.45,7.35,18.91
1959-05-06,15.16,9.9,19.9
1959-05-07,15.1,10.12,19.34
1959-05-08,17.07,11.72,21.69
1959-05-09,17.71,12.62,22.56
1959-05-10,17.46,12.29,22.82
1959-05-11,17.65,11.48,23.3
1959-05-12,17.65,12.13,22.62
1959-05-13,17.03,12.29,21.73
1959-05-14,15.76,10.89,20.51
1959-05-15,12.58,10.13,15.08
1959-05-16,12.93,9.34,16.25
1959-05-17,14.7,9.83,19.84
1959-05-18,16.41,11.28,21.31
1959-05-19,17.1,12.94,20.93
1959-05-20,17.89,12.96,22.98
1959-05-21,19.07,13.91,24.17
1959-05-22,16.9,13.19,20.75
1959-05-23,17.24,14.75,20.11
1959-05-24,16.77,14.12,19.75
1959-05-25,16.68,13.1,20.76
1959-05-26,17.04,11.7,22.84
1959-05-27,16.43,11.0,21.39
1959-05-28,13.69,9.37,18.49
1959-05-29,12.09,8.76,15.84
1959-05-30,12.16,8.28,15.53
1959-05-31,11.65,9.22,15.47
1959-06-01,15.21,7.92,20.61
1959-06-02,17.31,12.83,21.58
1959-06-03,18.09,11.52,24.15
1959-06-04,20.26,12.71,26.81
1959-06-05,20.86,15.84,26.23
1959-06-06,19.36,15.34,24.25
1959-06-07,16.66,13.71,19.94
1959-06-08,16.01,13.21,19.09
1959-06-09,13.55,11.45,15.1
1959-06-10,13.89,11.06,16.53
1959-06-11,13.95,10.72,16.82
1959-06-12,13.73,10.43,17.27
1959-06-13,16.68,12.31,20.71
1959-06-14,18.88,15.19,23.07
1959-06-15,18.52,14.49,22.8
1959-06-16,18.99,13.41,24.07
1959-06-17,20.01,12.18,26.24
1959-06-18,21.91,17.04,27.44
1959-06-19,21.88,17.49,27.62
1959-06-20,20.75,16.47,25.83
1959-06-21,19.01,15.67,23.44
1959-06-22,20.21,16.97,23.76
1959-06-23,21.73,16.71,25.86
1959-06-24,21.65,16.76,26.2
1959-06-25,21.32,18.46,24.59
1959-06-26,18.4,16.02,21.29
1959-06-27,19.26,16.13,21.85
1959-06-28,18.78,15.78,21.27
1959-06-29,15.65,11.76,17.92
1959-06-30,14.02,11.63,16.24
1959-07-01,15.72,12.15,18.04
1959-07-02,18.56,12.38,23.82
1959-07-03,21.84,15.88,27.88
1959-07-04,22.35,15.39,28.81
1959-07-05,24.26,18.07,31.51
1959-07-06,24.06,19.65,28.54
1959-07-07,24.07,18.72,29.11
1959-07-08,25.72,18.27,32.38
1959-07-09,27.41,21.26,33.57
1959-07-10,27.33,20.26,33.33
1959-07-11,25.87,20.58,31.08
1959-07-12,21.68,19.14,24.73
1959-07-13,21.19,17.26,26.0
1959-07-14,21.51,16.45,26.17
1959-07-15,19.0,14.95,23.18
1959-07-16,19.75,13.81,24.67
1959-07-17,21.73,15.88,27.12
1959-07-18,22.74,16.91,28.12
1959-07-19,23.75,16.62,30.02
1959-07-20,24.71,18.94,30.1
1959-07-21,25.38,19.24,30.77
1959-07-22,24.98,19.03,30.37
1959-07-23,25.06,18.82,31.27
1959-07-24,23.49,19.36,28.95
1959-07-25,23.76,18.64,29.3
1959-07-26,23.88,18.47,30.43
1959-07-27,24.04,17.35,30.12
1959-07-28,23.33,19.0,28.16
1959-07-29,19.28,14.14,22.75
1959-07-30,17.37,14.03,19.89
1959-07-31,17.71,14.64,21.21
1959-08-01,18.56,13.92,22.71
1959-08-02,17.44,13.21,21.1
1959-08-03,17.39,13.14,21.25
1959-08-04,19.14,13.03,24.27
1959-08-05,19.65,13.33,25.17
1959-08-06,20.5,15.24,25.52
1959-08-07,21.75,14.71,28.93
1959-08-08,23.51,19.06,30.97
1959-08-09,23.7,18.35,28.79
1959-08-10,19.37,15.24,25.82
1959-08-11,18.25,14.73,23.0
1959-08-12,18.6,15.3,22.68
1959-08-13,19.13,15.04,23.32
1959-08-14,20.13,16.57,24.31
1959-08-15,19.4,15.7,23.41
1959-08-16,18.98,13.94,23.15
1959-08-17,18.55,14.55,22.38
1959-08-18,19.33,14.73,24.2
1959-08-19,20.14,15.14,25.0
1959-08-20,21.26,14.43,27.36
1959-08-21,18.7,16.21,20.82
1959-08-22,17.31,14.82,19.99
1959-08-23,18.1,14.51,21.95
1959-08-24,22.16,17.65,26.97
1959-08-25,23.44,18.25,27.77
1959-08-26,23.29,18.55,28.39
1959-08-27,23.14,18.84,27.64
1959-08-28,20.94,15.88,27.14
1959-08-29,18.41,14.66,22.67
1959-08-30,16.3,12.27,20.47
1959-08-31,16.08,11.52,20.74
1959-09-01,15.63,10.86,20.58
1959-09-02,15.09,11.57,18.23
1959-09-03,17.45,12.93,22.35
1959-09-04,17.92,13.98,21.98
1959-09-05,18.07,14.33,22.0
1959-09-06,17.33,12.7,22.57
1959-09-07,18.01,11.43,23.8
1959-09-08,16.74,10.58,22.5
1959-09-09,17.39,10.09,24.28
1959-09-10,18.97,12.79,25.75
1959-09-11,19.42,11.45,27.4
1959-09-12,20.21,13.43,27.8
1959-09-13,19.72,14.14,24.59
1959-09-14,17.62,14.13,20.94
1959-09-15,19.38,14.6,23.94
1959-09-16,20.53,14.84,26.08
1959-09-17,19.31,16.71,23.81
1959-09-18,18.34,14.23,23.05
1959-09-19,16.64,10.26,22.74
1959-09-20,17.87,11.97,24.03
1959-09-21,18.79,13.35,24.14
1959-09-22,19.78,13.38,24.95
1959-09-23,21.43,15.92,27.3
1959-09-24,20.06,16.15,24.32
1959-09-25,17.85,13.71,22.56
1959-09-26,17.82,14.28,21.35
1959-09-27,17.41,14.04,20.87
1959-09-28,16.53,12.64,19.89
1959-09-29,16.34,11.51,21.51
1959-09-30,16.88,11.8,22.09
1959-10-01,16.94,12.56,22.15
1959-10-02,16.21,11.17,21.86
1959-10-03,14.45,9.56,20.82
1959-10-04,13.98,10.25,19.97
1959-10-05,13.87,8.55,19.72
1959-10-06,14.29,10.41,19.49
1959-10-07,13.47,9.57,19.0
1959-10-08,13.1,8.06,19.28
1959-10-09,13.27,6.4,20.17
1959-10-10,11.34,8.83,14.06
1959-10-11,12.14,10.46,15.02
1959-10-12,11.69,7.02,16.72
1959-10-13,10.48,6.59,14.86
1959-10-14,10.58,5.52,15.11
1959-10-15,12.08,8.97,16.0
1959-10-16,12.73,9.26,16.77
1959-10-17,13.33,8.91,18.0
1959-10-18,14.03,11.18,17.62
1959-10-19,13.6,9.83,18.52
1959-10-20,10.37,9.11,12.49
1959-10-21,9.87,5.81,13.39
1959-10-22,8.66,5.7,10.52
1959-10-23,9.67,5.0,13.49
1959-10-24,8.87,2.85,15.12
1959-10-25,10.27,5.75,16.41
1959-10-26,10.66,7.32,14.09
1959-10-27,11.99,9.71,14.9
1959-10-28,6.76,4.26,8.56
1959-10-29,6.07,4.35,7.35
1959-10-30,5.78,4.09,7.41
1959-10-31,5.75,4.19,7.71
1959-11-01,6.69,3.32,9.66
1959-11-02,8.79,6.36,12.0
1959-11-03,6.85,5.64,8.04
1959-11-04,6.2,4.03,8.34
1959-11-05,6.06,4.95,7.36
1959-11-06,4.44,2.12,5.45
1959-11-07,4.34,2.7,5.56
1959-11-08,4.08,2.16,5.68
1959-11-09,3.5,1.95,4.78
1959-11-10,3.88,2.33,5.79
1959-11-11,5.51,2.98,8.74
1959-11-12,6.57,4.87,8.17
1959-11-13,6.08,2.79,8.71
1959-11-14,7.79,4.09,9.58
1959-11-15,6.5,3.56,8.81
1959-11-16,7.2,5.22,10.18
1959-11-17,7.39,4.93,10.93
1959-11-18,10.86,8.45,13.22
1959-11-19,10.57,9.32,12.91
1959-11-20,9.63,7.69,13.84
1959-11-21,8.04,5.5,11.45
1959-11-22,6.24,3.13,8.72
1959-11-23,3.55,1.2,6.39
1959-11-24,0.97,-0.88,2.72
1959-11-25,1.18,-0.31,2.64
1959-11-26,6.55,1.85,9.67
1959-11-27,8.1,4.01,10.03
1959-11-28,6.16,2.82,9.6
1959-11-29,8.11,5.46,10.18
1959-11-30,6.46,4.36,8.72
1959-12-01,4.99,3.76,6.79
1959-12-02,4.73,3.33,6.12
1959-12-03,5.65,4.5,7.71
1959-12-04,4.58,2.6,6.52
1959-12-05,3.63,1.86,5.36
1959-12-06,3.6,2.49,4.79
1959-12-07,6.27,4.98,7.49
1959-12-08,5.15,3.24,7.28
1959-12-09,5.45,2.68,7.64
1959-12-10,6.32,3.56,8.13
1959-12-11,5.5,2.87,8.21
1959-12-12,4.12,2.28,6.37
1959-12-13,1.88,1.13,2.9
1959-12-14,1.48,-1.18,2.77
1959-12-15,0.92,-1.3,4.35
1959-12-16,3.23,0.91,5.95
1959-12-17,5.7,1.27,8.95
1959-12-18,6.53,4.7,8.25
1959-12-19,5.17,4.48,6.58
1959-12-20,7.49,5.17,9.85
1959-12-21,7.21,4.58,9.08
1959-12-22,4.73,3.09,6.32
1959-12-23,8.28,5.71,10.88
1959-12-24,6.0,4.42,7.9
1959-12-25,7.68,5.98,9.68
1959-12-26,11.07,7.99,14.64
1959-12-27,9.4,5.77,11.73
1959-12-28,6.94,5.92,8.24
1959-12-29,6.42,4.97,7.82
1959-12-30,10.61,8.53,12.44
1959-12-31,8.68,6.56,10.2
1960-01-01,8.54,4.35,12.39
1960-01-02,8.54,5.61,10.49
1960-01-03,9.57,8.34,10.62
1960-01-04,8.61,5.92,11.56
1960-01-05,4.91,3.21,8.19
1960-01-06,4.38,1.26,7.0
1960-01-07,1.98,-0.11,5.19
1960-01-08,2.28,0.48,4.59
1960-01-09,0.87,-2.77,3.03
1960-01-10,-3.45,-4.72,-2.38
1960-01-11,-3.99,-5.53,-1.38
1960-01-12,-3.58,-5.88,-1.73
1960-01-13,-5.35,-7.22,-3.38
1960-01-14,-7.13,-8.75,-5.94
1960-01-15,-6.27,-7.66,-4.27
1960-01-16,-5.4,-6.45,-2.38
1960-01-17,-2.32,-5.06,0.12
1960-01-18,-0.41,-3.3,1.54
1960-01-19,2.04,-1.12,4.57
1960-01-20,4.5,2.44,8.77
1960-01-21,6.04,1.37,9.16
1960-01-22,4.76,2.71,8.46
1960-01-23,7.4,3.43,10.76
1960-01-24,9.62,5.95,12.9
1960-01-25,10.08,8.03,11.35
1960-01-26,8.64,6.39,10.92
1960-01-27,11.26,10.03,12.76
1960-01-28,8.61,5.05,12.22
1960-01-29,4.62,-0.14,7.03
1960-01-30,3.23,-0.61,8.1
1960-01-31,2.98,0.07,8.42
1960-02-01,3.72,-0.77,6.55
1960-02-02,4.55,1.59,8.75
1960-02-03,5.2,1.86,8.55
1960-02-04,7.19,4.83,9.51
1960-02-05,5.11,3.22,7.17
1960-02-06,3.91,1.79,6.28
1960-02-07,0.68,-2.78,2.43
1960-02-08,-2.71,-5.11,-0.69
1960-02-09,-3.24,-4.95,-0.27
1960-02-10,-0.75,-5.89,6.58
1960-02-11,2.35,-1.55,5.81
1960-02-12,3.74,1.62,6.25
1960-02-13,3.4,1.21,5.94
1960-02-14,3.37,1.06,6.04
1960-02-15,3.95,0.41,6.93
1960-02-16,4.5,3.11,6.09
1960-02-17,1.13,-0.78,3.55
1960-02-18,4.5,0.4,9.68
1960-02-19,3.77,1.45,7.21
1960-02-20,6.16,2.3,11.19
1960-02-21,8.47,4.53,13.33
1960-02-22,9.4,6.28,12.75
1960-02-23,5.97,2.69,8.84
1960-02-24,7.66,5.08,9.92
1960-02-25,10.27,7.35,14.05
1960-02-26,10.77,8.91,13.93
1960-02-27,12.52,9.81,17.19
1960-02-28,12.72,8.24,18.39
1960-03-01,10.39,7.9,12.74
1960-03-02,8.74,7.15,9.73
1960-03-03,9.38,6.45,11.39
1960-03-04,10.22,6.71,12.62
1960-03-05,7.21,4.03,10.9
1960-03-06,6.95,3.34,11.57
1960-03-07,6.21,4.56,8.11
1960-03-08,5.28,3.62,7.79
1960-03-09,6.62,5.33,9.23
1960-03-10,7.9,4.93,11.47
1960-03-11,7.75,5.23,12.24
1960-03-12,8.46,3.08,13.55
1960-03-13,8.85,6.22,12.43
1960-03-14,9.03,6.55,12.46
1960-03-15,7.84,5.78,9.26
1960-03-16,9.56,7.56,12.26
1960-03-17,7.95,5.28,11.1
1960-03-18,5.32,2.83,7.36
1960-03-19,5.04,1.19,9.22
1960-03-20,3.71,0.74,7.54
1960-03-21,4.13,0.91,8.89
1960-03-22,6.4,-0.19,13.33
1960-03-23,8.3,2.44,13.81
1960-03-24,9.73,6.39,13.02
1960-03-25,10.51,8.08,13.99
1960-03-26,11.42,8.23,16.16
1960-03-27,11.55,6.86,15.75
1960-03-28,10.69,6.92,14.15
1960-03-29,9.36,6.49,13.13
1960-03-30,8.55,4.25,12.31
1960-03-31,9.02,5.29,13.04
1960-04-01,8.43,5.28,11.71
1960-04-02,9.11,4.65,14.74
1960-04-03,9.47,6.59,13.61
1960-04-04,9.1,5.13,13.37
1960-04-05,9.55,3.14,16.08
1960-04-06,12.66,6.14,18.64
1960-04-07,14.12,8.15,20.65
1960-04-08,13.84,8.16,20.02
1960-04-09,13.75,7.93,19.59
1960-04-10,12.59,7.23,17.4
1960-04-11,9.99,7.1,12.07
1960-04-12,8.16,4.35,12.1
1960-04-13,9.5,1.91,15.22
1960-04-14,10.47,7.59,12.44
1960-04-15,8.66,5.69,11.62
1960-04-16,7.04,3.36,10.21
1960-04-17,6.85,3.57,8.66
1960-04-18,8.35,6.67,10.02
1960-04-19,7.28,4.93,9.5
1960-04-20,10.76,5.74,16.79
1960-04-21,13.97,7.62,19.49
1960-04-22,13.37,8.29,18.31
1960-04-23,11.55,7.37,16.09
1960-04-24,10.32,4.42,15.01
1960-04-25,9.06,5.62,12.29
1960-04-26,7.39,3.31,10.92
1960-04-27,6.31,2.44,10.28
1960-04-28,5.92,3.27,9.0
1960-04-29,4.68,1.9,8.22
1960-04-30,6.56,2.77,11.12
1960-05-01,8.19,3.03,11.85
1960-05-02,8.96,3.63,13.93
1960-05-03,9.84,0.96,16.63
1960-05-04,13.21,6.26,19.1
1960-05-05,14.02,7.3,19.58
1960-05-06,14.65,9.02,18.54
1960-05-07,16.24,9.97,21.93
1960-05-08,16.62,9.91,23.16
1960-05-09,16.49,9.3,22.82
1960-05-10,18.18,11.0,24.4
1960-05-11,19.05,14.45,25.23
1960-05-12,19.11,13.86,24.04
1960-05-13,18.67,14.36,23.91
1960-05-14,18.15,13.53,25.29
1960-05-15,18.49,14.08,22.21
1960-05-16,16.28,13.73,19.5
1960-05-17,17.5,13.79,21.88
1960-05-18,16.59,13.84,20.12
1960-05-19,16.05,11.97,21.54
1960-05-20,14.46,12.75,17.31
1960-05-21,15.34,11.12,19.46
1960-05-22,13.87,10.82,16.39
1960-05-23,15.26,10.77,19.0
1960-05-24,15.37,10.81,18.31
1960-05-25,15.93,12.74,20.12
1960-05-26,16.38,9.48,22.04
1960-05-27,17.96,11.82,23.89
1960-05-28,18.02,13.57,23.02
1960-05-29,15.68,12.19,19.56
1960-05-30,14.98,10.17,20.05
1960-05-31,15.98,9.56,21.44
1960-06-01,17.52,9.98,23.63
1960-06-02,18.63,12.41,23.44
1960-06-03,19.76,14.2,25.79
1960-06-04,20.98,15.28,27.05
1960-06-05,21.72,16.31,27.42
1960-06-06,21.11,16.59,26.47
1960-06-07,17.26,14.32,21.23
1960-06-08,19.16,14.37,24.33
1960-06-09,17.76,15.83,21.06
1960-06-10,16.01,13.25,19.32
1960-06-11,16.37,11.32,20.54
1960-06-12,18.07,12.39,24.08
1960-06-13,17.13,12.77,22.12
1960-06-14,14.49,11.2,17.86
1960-06-15,15.77,9.59,21.27
1960-06-16,17.86,11.3,23.57
1960-06-17,20.26,12.56,26.13
1960-06-18,23.37,16.21,29.98
1960-06-19,24.03,17.55,29.93
1960-06-20,21.87,17.52,26.49
1960-06-21,21.2,16.21,26.43
1960-06-22,22.28,15.14,29.97
1960-06-23,20.91,16.67,24.8
1960-06-24,17.39,15.45,19.29
1960-06-25,17.37,13.72,21.17
1960-06-26,15.96,13.6,20.53
1960-06-27,19.31,14.82,23.76
1960-06-28,18.7,14.68,23.44
1960-06-29,14.91,10.26,19.58
1960-06-30,13.16,8.85,17.51
1960-07-01,14.91,9.73,19.97
1960-07-02,15.54,9.42,21.06
1960-07-03,15.97,10.95,21.98
1960-07-04,16.26,9.08,21.72
1960-07-05,19.37,14.64,24.16
1960-07-06,19.5,15.05,22.39
1960-07-07,17.87,13.25,22.13
1960-07-08,16.15,13.06,20.09
1960-07-09,15.75,12.87,18.57
1960-07-10,17.42,13.63,20.48
1960-07-11,17.63,15.64,19.5
1960-07-12,16.51,13.14,20.15
1960-07-13,17.57,12.02,23.24
1960-07-14,17.9,13.35,22.66
1960-07-15,17.08,13.62,20.62
1960-07-16,16.92,12.84,21.6
1960-07-17,20.27,12.41,27.03
1960-07-18,19.88,17.99,22.25
1960-07-19,17.8,15.99,20.21
1960-07-20,17.36,13.48,21.44
1960-07-21,16.87,12.16,21.19
1960-07-22,16.88,12.85,20.34
1960-07-23,15.58,12.75,18.86
1960-07-24,16.71,10.75,22.4
1960-07-25,18.61,10.3,25.39
1960-07-26,19.99,14.14,24.72
1960-07-27,18.14,15.04,21.03
1960-07-28,17.79,13.38,23.79
1960-07-29,22.04,13.52,29.26
1960-07-30,19.53,16.73,22.3
1960-07-31,15.73,13.29,17.27
1960-08-01,14.98,12.34,18.95
1960-08-02,15.4,11.51,19.5
1960-08-03,16.08,8.97,22.01
1960-08-04,18.4,10.26,26.12
1960-08-05,17.29,15.31,19.22
1960-08-06,17.88,13.8,22.29
1960-08-07,18.18,13.06,23.3
1960-08-08,15.92,14.36,19.83
1960-08-09,16.67,13.93,21.19
1960-08-10,16.62,12.63,21.07
1960-08-11,18.96,14.37,26.39
1960-08-12,14.88,11.86,17.38
1960-08-13,14.89,11.12,18.75
1960-08-14,17.16,13.04,21.46
1960-08-15,16.48,13.81,20.46
1960-08-16,16.53,12.09,21.77
1960-08-17,17.93,11.75,24.1
1960-08-18,18.93,14.8,23.6
1960-08-19,16.46,12.87,19.51
1960-08-20,16.44,11.11,21.71
1960-08-21,18.02,11.83,24.39
1960-08-22,21.47,13.48,29.66
1960-08-23,22.28,15.47,27.91
1960-08-24,23.06,16.69,29.11
1960-08-25,22.71,16.91,29.47
1960-08-26,19.87,17.0,25.38
1960-08-27,18.92,15.92,22.45
1960-08-28,19.08,16.27,22.15
1960-08-29,17.97,13.6,21.99
1960-08-30,16.22,13.58,17.84
1960-08-31,14.43,11.47,17.45
1960-09-01,14.83,9.1,19.74
1960-09-02,16.61,10.37,21.59
1960-09-03,18.06,10.24,23.83
1960-09-04,15.75,12.73,17.92
1960-09-05,13.9,11.72,16.67
1960-09-06,13.72,9.99,17.07
1960-09-07,14.57,12.84,16.6
1960-09-08,15.41,12.6,18.58
1960-09-09,14.35,9.73,19.4
1960-09-10,14.34,8.79,20.82
1960-09-11,15.83,8.67,23.01
1960-09-12,17.19,9.12,24.69
1960-09-13,16.29,13.79,18.67
1960-09-14,15.55,11.34,19.99
1960-09-15,15.6,13.43,18.61
1960-09-16,13.25,10.02,16.79
1960-09-17,13.0,8.99,16.93
1960-09-18,13.57,10.96,16.2
1960-09-19,12.8,10.23,15.42
1960-09-20,11.16,7.59,13.12
1960-09-21,9.75,6.78,13.11
1960-09-22,10.48,4.53,15.81
1960-09-23,10.79,7.31,15.48
1960-09-24,12.75,5.94,18.43
1960-09-25,13.91,11.11,18.73
1960-09-26,13.55,7.88,19.16
1960-09-27,12.88,8.14,17.39
1960-09-28,12.96,11.54,14.7
1960-09-29,11.6,8.58,15.13
1960-09-30,12.14,9.67,13.39
1960-10-01,13.4,9.66,18.7
1960-10-02,14.87,10.16,19.24
1960-10-03,17.27,15.56,19.19
1960-10-04,16.29,11.57,20.46
1960-10-05,14.65,11.16,18.0
1960-10-06,14.52,12.99,16.85
1960-10-07,13.03,11.35,15.31
1960-10-08,13.11,10.3,15.65
1960-10-09,12.36,10.03,14.88
1960-10-10,10.89,8.84,12.94
1960-10-11,8.67,7.41,10.27
1960-10-12,7.04,4.91,8.86
1960-10-13,5.6,1.36,10.4
1960-10-14,4.93,-1.24,9.63
1960-10-15,6.35,4.22,8.25
1960-10-16,5.73,3.74,7.47
1960-10-17,6.72,4.39,9.33
1960-10-18,5.39,1.29,10.51
1960-10-19,10.46,5.03,15.79
1960-10-20,11.11,8.58,13.43
1960-10-21,10.46,7.11,14.45
1960-10-22,13.38,10.97,15.04
1960-10-23,14.04,12.51,15.47
1960-10-24,13.92,10.88,16.56
1960-10-25,13.07,11.28,15.71
1960-10-26,12.39,10.83,14.94
1960-10-27,11.91,9.24,15.32
1960-10-28,10.56,8.45,12.46
1960-10-29,10.78,7.76,15.56
1960-10-30,10.82,8.98,14.24
1960-10-31,10.99,8.17,14.29
1960-11-01,14.42,11.74,16.51
1960-11-02,12.13,7.32,14.67
1960-11-03,10.99,6.33,14.43
1960-11-04,11.8,9.08,14.0
1960-11-05,7.56,4.51,9.51
1960-11-06,6.94,3.98,9.39
1960-11-07,4.96,2.94,7.61
1960-11-08,4.42,1.59,6.9
1960-11-09,3.09,0.29,5.66
1960-11-10,6.85,3.78,9.81
1960-11-11,9.6,7.73,12.41
1960-11-12,7.62,5.2,10.73
1960-11-13,7.3,5.1,9.79
1960-11-14,6.64,2.64,9.93
1960-11-15,9.8,7.21,11.44
1960-11-16,9.05,5.72,11.3
1960-11-17,8.46,4.97,12.38
1960-11-18,9.0,7.52,11.56
1960-11-19,7.48,6.37,9.46
1960-11-20,7.02,4.59,9.93
1960-11-21,9.33,5.35,11.54
1960-11-22,9.01,7.2,11.34
1960-11-23,8.53,6.61,10.17
1960-11-24,8.65,7.14,10.26
1960-11-25,9.88,7.18,12.5
1960-11-26,12.61,10.91,14.86
1960-11-27,11.45,9.89,14.27
1960-11-28,7.73,4.94,9.61
1960-11-29,2.8,-0.04,5.26
1960-11-30,3.41,-0.09,7.65
1960-12-01,6.89,3.21,11.52
1960-12-02,7.14,5.33,8.75
1960-12-03,7.04,5.06,9.13
1960-12-04,8.49,5.74,11.47
1960-12-05,8.68,7.85,10.03
1960-12-06,7.02,4.72,8.09
1960-12-07,4.08,0.97,7.05
1960-12-08,2.6,0.87,4.75
1960-12-09,1.61,0.8,2.34
1960-12-10,1.02,-0.32,2.22
1960-12-11,1.57,1.08,2.21
1960-12-12,0.22,-1.16,1.16
1960-12-13,-1.19,-2.04,-0.48
1960-12-14,-0.51,-1.24,0.82
1960-12-15,-0.31,-1.21,0.94
1960-12-16,-0.32,-2.17,1.35
1960-12-17,-0.7,-2.25,1.69
1960-12-18,-1.25,-2.23,-0.39
1960-12-19,1.27,-1.7,3.8
1960-12-20,3.17,-0.36,5.1
1960-12-21,1.22,-1.24,3.69
1960-12-22,1.2,-0.44,2.45
1960-12-23,0.96,-1.37,2.72
1960-12-24,-1.53,-2.39,0.07
1960-12-25,-0.97,-3.38,1.94
1960-12-26,2.42,-1.24,4.94
1960-12-27,2.97,2.18,4.19
1960-12-28,2.17,1.07,3.68
